dt,res_id,menu_opens,cart_built
20250314,38925849,173,77
20250309,37495179,61,31
20250317,38925849,69,26
20250303,37495179,34,19
20250306,38925849,68,21
20250318,38010541,50,18
20250318,38328679,194,99
20250319,37495179,46,26
20250305,38673377,66,33
20250320,40692965,6,2
20250303,38673377,60,20
20250318,37494909,164,73
20250310,41022009,51,14
20250311,38067419,235,110
20250307,40692965,8,2
20250311,42703007,102,15
20250314,38328679,324,126
20250311,37848835,111,64
20250311,38673377,63,24
20250315,37494909,162,63
20250303,39817143,323,131
20250322,38925849,85,30
20250320,37495575,111,57
20250312,38673377,68,22
20250312,41022009,52,15
20250322,38198091,125,41
20250308,38925849,93,44
20250303,38067419,187,79
20250319,37495575,136,73
20250303,37495575,89,45
20250306,41022009,51,14
20250309,39817143,523,206
20250316,38067419,301,142
20250314,41022009,129,26
20250323,38274987,50,16
20250313,38925849,76,37
20250307,37988541,516,167
20250306,37495575,65,31
20250306,38673377,76,31
20250314,37495179,58,36
20250320,37848835,107,54
20250320,38198091,88,37
20250305,37494909,171,73
20250308,39817143,421,167
20250322,40692965,8,1
20250315,40692965,18,4
20250307,38198091,112,37
20250315,38274987,32,16
20250308,38067419,272,116
20250313,41022009,62,11
20250312,42703007,95,9
20250315,38010541,54,18
20250306,37495179,37,18
20250317,37495179,56,36
20250308,38198091,116,39
20250314,38198091,149,54
20250319,39817143,369,109
20250319,41022009,65,20
20250321,38010541,59,16
20250316,40692965,12,4
20250317,38198091,113,36
20250323,37495179,55,21
20250305,42703007,115,16
20250303,37988541,480,158
20250313,38274987,41,20
20250311,38198091,124,49
20250320,38067419,227,106
20250312,37495575,101,65
20250319,37988541,562,177
20250315,37495575,127,62
20250320,37494909,184,72
20250304,39817143,303,120
20250312,38010541,40,18
20250322,42703007,93,14
20250321,37495179,40,26
20250305,37988541,515,168
20250303,38328679,190,85
20250307,37848835,105,64
20250304,37495179,29,16
20250316,37848835,124,66
20250315,37848835,85,50
20250320,38010541,50,24
20250322,38067419,240,93
20250310,37988541,491,148
20250319,38925849,90,37
20250317,37988541,473,161
20250309,37848835,161,85
20250309,38925849,111,56
20250322,39817143,318,101
20250312,38198091,98,26
20250305,37495179,27,16
20250314,40692965,53,10
20250307,38010541,48,16
20250323,38067419,319,111
20250307,42703007,100,20
20250318,37988541,470,145
20250313,38010541,53,19
20250323,42703007,100,17
20250321,38067419,225,87
20250309,38673377,139,47
20250317,38010541,49,21
20250315,42703007,101,17
20250322,37848835,114,61
20250310,42278219,71,11
20250310,40692965,11,3
20250305,40692965,19,3
20250321,38925849,90,44
20250304,38067419,216,100
20250311,37494909,174,75
